title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Umbrella,Rihanna Featuring Jay-Z,2007,276,Joy,28,4,2,10,1,3,18,3,6,15
The Sweet Escape,Gwen Stefani Featuring Akon,2007,247,Anticipation,52,48,10,42,19,29,28,14,24,31
Big Girls Don't Cry,Fergie,2007,308,Trust,29,11,1,24,1,0,21,12,7,30
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007,227,Anger,28,19,17,11,4,5,12,5,7,17
Before He Cheats,Carrie Underwood,2007,200,Anger,11,10,11,9,8,3,6,2,1,5
Hey There Delilah,Plain White T's,2007,233,Joy,14,5,2,10,2,2,11,4,5,11
I Wanna Love You,Akon Featuring Snoop Dogg,2007,248,Joy,16,9,8,5,2,3,10,4,4,4
Say It Right,Nelly Furtado,2007,224,Trust,7,7,2,6,2,4,6,7,5,8
Glamorous,Fergie Featuring Ludacris,2007,247,Surprise,26,7,14,13,2,6,15,3,23,18
Don't Matter,Akon,2007,293,Anger,17,37,35,3,1,34,14,7,5,9
Girlfriend,Avril Lavigne,2007,217,Trust,6,7,4,3,4,4,2,3,1,5
Makes Me Wonder,Maroon 5,2007,212,Sadness,9,13,7,6,4,6,3,9,4,5
Party Like A Rockstar,Shop Boyz,2007,254,Trust,125,6,7,49,0,9,49,2,3,53
Smack That,Akon Featuring Eminem,2007,213,Anger,11,59,48,9,1,10,8,10,2,5
This Is Why I'm Hot,Mims,2007,253,Anger,18,21,56,14,5,7,12,7,8,6
It's Not Over,Daughtry,2007,216,Anticipation,10,7,0,16,1,4,9,4,6,5
The Way I Are,Timbaland Featuring Keri Hilson,2007,180,Joy,18,10,1,3,2,0,13,6,1,2
Fergalicious,Fergie,2007,293,Joy,82,28,16,13,15,8,23,5,3,6
Crank That (Soulja Boy),Soulja Boy Tell'em,2007,224,Fear,11,82,5,46,42,49,9,6,4,9
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007,235,Trust,14,12,9,4,5,6,3,7,2,12
What Goes Around...Comes Around,Justin Timberlake,2007,448,Sadness,17,20,7,10,9,7,7,18,6,1
Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,2007,243,Joy,26,10,3,12,3,4,20,5,7,11
How To Save A Life,The Fray,2007,263,Joy,28,25,16,7,14,13,23,15,13,23
Home,Daughtry,2007,256,Joy,10,9,0,2,0,4,8,6,1,4
My Love,Justin Timberlake Featuring T.I.,2007,371,Joy,58,15,9,7,3,9,53,9,6,7
Stronger,Kanye West,2007,313,Anticipation,13,22,6,24,6,8,5,8,3,7
U + Ur Hand,P!nk,2007,214,Surprise,12,13,7,13,6,3,11,1,16,9
Walk It Out,Unk,2007,167,Trust,14,6,5,2,2,1,5,0,5,9
Beautiful Girls,Sean Kingston,2007,242,Anger,18,37,28,3,28,21,14,24,1,4
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,2007,213,Sadness,17,12,6,6,9,1,5,12,2,9
Bartender,T-Pain Featuring Akon,2007,238,Trust,29,13,9,14,4,8,17,6,7,21
"Pop, Lock & Drop It",Huey,2007,326,Surprise,18,54,5,6,2,4,6,7,51,4
Rockstar,Nickelback,2007,252,Trust,34,12,6,12,5,8,16,5,9,22
Thnks Fr Th Mmrs,Fall Out Boy,2007,204,Anticipation,10,4,2,18,1,3,5,3,4,8
What I've Done,Linkin Park,2007,205,Fear,8,8,4,1,1,7,1,5,0,2
Summer Love,Justin Timberlake,2007,253,Joy,31,21,2,17,0,1,27,10,1,8
You,Lloyd Featuring Lil Wayne,2007,274,Joy,32,9,2,10,4,5,23,2,8,13
Wait For You,Elliott Yamin,2007,261,Anticipation,17,22,4,18,2,6,14,6,3,0
Last Night,Diddy Featuring Keyshia Cole,2007,387,Joy,32,9,3,9,3,6,26,7,2,2
Make It Rain,Fat Joe Featuring Lil Wayne,2007,248,Joy,22,30,12,14,4,13,19,2,3,17
Ice Box,Omarion,2007,257,Disgust,11,67,6,5,10,2,8,6,6,8
Lips Of An Angel,Hinder,2007,261,Trust,25,4,1,15,0,1,13,3,15,20
Waiting On The World To Change,John Mayer,2007,202,Anticipation,7,34,2,32,0,13,1,0,0,3
Lost Without U,Robin Thicke,2007,255,Joy,43,12,9,8,11,11,42,10,14,10
If Everyone Cared,Nickelback,2007,217,Joy,44,23,7,23,7,10,43,26,2,33
Get It Shawty,Lloyd,2007,210,Surprise,12,11,2,6,5,4,9,5,10,9
Face Down,The Red Jumpsuit Apparatus,2007,189,Sadness,11,18,9,5,10,6,8,14,3,9
Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,2007,271,Joy,31,18,12,6,7,12,14,3,7,7
It Ends Tonight,The All-American Rejects,2007,245,Sadness,6,21,10,5,4,11,3,16,5,6
A Bay Bay,Hurricane Chris,2007,306,Trust,129,34,23,18,12,21,22,14,14,28
Because Of You,Ne-Yo,2007,266,Sadness,5,13,0,2,0,8,4,9,2,8
I Tried,Bone Thugs-N-Harmony Featuring Akon,2007,287,Fear,27,44,18,12,13,20,10,19,9,17
Welcome To The Black Parade,My Chemical Romance,2007,311,Sadness,17,27,10,11,10,11,9,18,16,12
Chasing Cars,Snow Patrol,2007,268,Disgust,5,13,4,2,5,1,3,4,0,4
Beautiful Liar,Beyonce & Shakira,2007,199,Joy,36,23,7,7,9,10,13,10,4,2
SexyBack,Justin Timberlake,2007,242,Anticipation,11,12,7,12,5,7,9,4,3,4
Keep Holding On,Avril Lavigne,2007,237,Fear,5,4,2,0,0,7,0,1,0,3
Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,2007,239,Joy,20,13,14,13,8,5,16,8,11,12
Apologize,Timbaland Featuring OneRepublic,2007,185,Sadness,10,18,1,2,0,3,2,24,2,9
Bubbly,Colbie Caillat,2007,179,Anticipation,11,2,1,14,5,1,11,1,7,9
Like A Boy,Ciara,2007,237,Sadness,12,35,23,2,27,27,6,29,2,10
Who Knew,P!nk,2007,208,Trust,17,7,2,9,1,2,11,2,5,14
Never Again,Kelly Clarkson,2007,217,Fear,12,13,8,7,4,9,7,9,7,9
Promise,Ciara,2007,269,Joy,35,21,12,6,15,4,25,10,2,16
Bed,J. Holiday,2007,275,Joy,53,5,4,13,1,4,25,4,4,5
Throw Some D's,Rich Boy Featuring Polow Da Don,2007,264,Disgust,10,60,31,4,34,17,4,18,5,7
Rehab,Amy Winehouse,2007,214,Sadness,7,7,2,3,1,3,5,6,2,2
Big Things Poppin' (Do It),T.I.,2007,288,Anticipation,24,22,12,13,5,10,3,6,6,8
No One,Alicia Keys,2007,247,Anticipation,3,3,1,3,0,3,0,3,0,1
The Great Escape,Boys Like Girls,2007,206,Anticipation,18,18,2,17,5,14,7,5,7,12
2 Step,Unk,2007,177,Fear,22,31,7,15,6,18,9,18,7,11
Walk Away (Remember Me),Paula DeAnda Featuring The DEY,2007,238,Joy,24,7,1,5,1,3,14,2,4,13
Go Getta,Young Jeezy Featuring R. Kelly,2007,230,Anger,7,27,23,7,23,12,3,12,3,4
Here (In Your Arms),Hellogoodbye,2007,241,Sadness,8,8,4,0,4,0,8,12,4,0
On The Hotline,Pretty Ricky,2007,239,Joy,64,6,5,29,5,3,41,3,5,27
Wind It Up,Gwen Stefani,2007,190,Anger,4,13,8,7,7,8,2,8,6,2
Cyclone,Baby Bash Featuring T-Pain,2007,237,Fear,8,36,6,8,4,31,7,4,28,11
Break It Off,Rihanna & Sean Paul,2007,214,Disgust,17,45,12,12,28,5,10,6,25,11
First Time,Lifehouse,2007,203,Anticipation,11,14,8,14,8,12,11,9,6,3
