title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Dark Horse,Katy Perry Featuring Juicy J,2014,216,Anticipation,28,27,15,18,9,8,18,11,3,17,6
All Of Me,John Legend,2014,308,Joy,14,15,7,8,3,7,13,9,6,5,2
Fancy,Iggy Azalea Featuring Charli XCX,2014,200,Anticipation,30,17,14,18,5,7,17,8,6,11,1
Counting Stars,OneRepublic,2014,284,Trust,71,19,22,48,13,26,37,16,26,51,7
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,177,Disgust,24,18,2,4,12,2,5,1,3,10,1
Rude,MAGIC!,2014,225,Love,35,10,2,21,3,20,30,9,19,21,21
All About That Bass,Meghan Trainor,2014,188,Anger,12,34,40,7,6,3,8,6,0,6,2
Problem,Ariana Grande Featuring Iggy Azalea,2014,194,Sadness,19,42,2,8,5,38,12,39,6,10,3
Stay With Me,Sam Smith,2014,173,Love,12,2,1,4,0,1,12,2,4,6,10
Timber,Pitbull Featuring Ke$ha,2014,205,Anger,16,20,11,2,2,10,10,1,6,9,0
Pompeii,Bastille,2014,215,Fear,9,16,6,0,3,12,3,10,3,7,0
Shake It Off,Taylor Swift,2014,220,Disgust,12,39,17,2,20,17,12,19,17,3,7
Am I Wrong,Nico & Vinz,2014,247,Trust,7,25,1,5,0,2,1,2,1,6,0
The Monster,Eminem Featuring Rihanna,2014,251,Fear,25,37,20,8,4,27,17,24,5,18,0
Say Something,A Great Big World & Christina Aguilera,2014,230,Joy,4,4,0,1,1,0,3,1,0,0,0
Team,Lorde,2014,194,Trust,14,9,2,5,3,5,11,8,3,15,0
Let Her Go,Passenger,2014,255,Joy,19,7,5,12,5,5,19,8,5,7,0
Royals,Lorde,2014,230,Trust,27,3,4,10,3,18,19,0,4,22,3
Let It Go,Idina Menzel,2014,225,Anticipation,12,12,2,11,1,10,8,6,6,6,1
Wake Me Up!,Avicii,2014,248,Sadness,7,10,8,11,8,11,6,13,13,3,0
Demons,Imagine Dragons,2014,176,Fear,8,25,17,3,18,32,2,18,1,6,0
Story Of My Life,One Direction,2014,244,Surprise,10,8,1,9,0,3,8,4,11,6,1
Chandelier,Sia,2014,217,Anticipation,15,6,3,5,5,5,4,5,4,4,0
Black Widow,Iggy Azalea Featuring Rita Ora,2014,210,Joy,36,28,11,8,9,11,30,25,0,9,9
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,200,Anger,11,60,45,22,43,45,6,45,45,8,0
Latch,Disclosure Featuring Sam Smith,2014,256,Joy,16,5,5,10,5,5,15,5,6,4,4
Maps,Maroon 5,2014,190,Anticipation,16,3,0,4,0,1,1,1,0,0,1
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014,265,Fear,27,24,21,8,17,28,23,20,20,23,6
Best Day Of My Life,American Authors,2014,221,Love,7,4,2,4,2,4,6,3,5,5,5
Habits (Stay High),Tove Lo,2014,209,Anticipation,12,22,2,17,2,7,9,7,2,4,4
Summer,Calvin Harris,2014,222,Sadness,7,4,2,2,2,0,3,6,0,2,2
Boom Clap,Charli XCX,2014,169,Love,38,4,2,32,2,2,36,3,13,31,32
Drunk In Love,Beyonce Featuring Jay Z,2014,324,Joy,38,27,13,9,15,11,37,9,9,7,9
Anaconda,Nicki Minaj,2014,260,Disgust,20,68,22,6,32,28,7,18,4,12,2
Break Free,Ariana Grande Featuring Zedd,2014,215,Fear,6,17,6,5,5,8,6,8,8,3,3
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014,244,Joy,5,1,0,0,0,0,2,1,0,0,0
Burn,Ellie Goulding,2014,232,Fear,12,9,7,8,1,29,8,5,1,1,0
Wiggle,Jason Derulo Featuring Snoop Dogg,2014,193,Love,17,25,7,7,8,4,13,7,1,8,12
Rather Be,Clean Bandit Featuring Jess Glynne,2014,227,Anticipation,6,9,5,7,3,6,2,6,3,3,0
Don't Tell 'Em,Jeremih Featuring YG,2014,267,Love,30,16,6,3,3,2,12,4,5,7,9
Show Me,Kid Ink Featuring Chris Brown,2014,218,Trust,22,16,11,4,9,5,14,13,3,18,13
Wrecking Ball,Miley Cyrus,2014,222,Surprise,7,32,22,3,16,20,6,23,24,0,1
Not A Bad Thing,Justin Timberlake,2014,689,Joy,30,24,14,16,12,11,26,23,7,11,2
Roar,Katy Perry,2014,224,Joy,16,9,3,9,2,9,10,2,3,10,0
Ain't It Fun,Paramore,2014,296,Trust,41,23,1,23,1,1,21,19,8,28,1
The Man,Aloe Blacc,2014,255,Anticipation,26,6,4,9,2,7,6,6,4,8,0
This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014,221,Joy,20,5,2,8,2,2,17,3,3,7,8
Classic,MKTO,2014,175,Joy,44,6,5,9,2,6,25,2,5,12,15
A Sky Full Of Stars,Coldplay,2014,267,Anticipation,26,1,0,8,0,1,8,2,0,8,2
Don't,Ed Sheeran,2014,219,Love,38,17,5,25,3,8,36,14,4,18,30
Na Na,Trey Songz,2014,232,Joy,14,14,8,10,2,5,14,6,8,5,2
Hot Boy,Bobby Shmurda,2014,194,Anger,13,26,24,7,7,19,9,4,7,10,0
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014,228,Joy,16,2,4,6,0,0,16,2,8,6,4
Sing,Ed Sheeran,2014,235,Love,27,9,2,12,1,6,23,14,5,17,22
Radioactive,Imagine Dragons,2014,187,Fear,5,19,3,2,0,17,1,4,4,5,0
Cool Kids,Echosmith,2014,234,Anticipation,27,1,0,2,0,0,2,1,2,2,0
Hey Brother,Avicii,2014,256,Sadness,15,9,4,1,2,4,5,9,3,8,1
Trumpets,Jason Derulo,2014,217,Anticipation,5,19,1,10,9,2,5,2,1,1,1
Animals,Maroon 5,2014,232,Anger,20,40,31,7,22,14,13,18,0,5,7
Burnin' It Down,Jason Aldean,2014,219,Joy,24,9,1,7,4,0,18,7,5,8,9
Play It Again,Luke Bryan,2014,226,Love,24,5,0,13,4,3,13,0,5,14,16
2 On,Tinashe Featuring ScHoolboy Q,2014,227,Joy,50,34,28,22,12,11,44,6,23,20,1
Dirt,Florida Georgia Line,2014,231,Anticipation,22,27,11,21,13,9,17,7,9,17,0
Love Runs Out,OneRepublic,2014,225,Joy,33,13,2,13,1,13,31,9,5,11,1
Bottoms Up,Brantley Gilbert,2014,291,Trust,20,21,8,9,4,3,8,16,2,17,0
Shower,Becky G,2014,207,Love,31,1,2,17,0,1,26,13,4,24,28
Me And My Broken Heart,Rixton,2014,193,Joy,18,16,12,8,4,3,17,12,15,0,0
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014,269,Anger,39,40,29,26,24,23,11,22,7,27,2
American Kids,Kenny Chesney,2014,183,Joy,16,12,8,5,4,4,13,7,5,13,9
Brave,Sara Bareilles,2014,221,Trust,14,12,4,4,1,5,4,9,2,13,0
Sweater Weather,The Neighbourhood,2014,241,Love,9,9,1,5,1,2,6,2,3,3,4
